Gemeente;GemeenteCode;VVD;CDA;PVV;D66;SP;GROENLINKS;PvdA;CU;50PLUS;PvdD;SGP;FvD;DENK;VNL;Piratenpartij;NIEUWE WEGEN;OndernemersPartij;Artikel 1;Lokaal in de Kamer;Niet Stemmers;De Burger Beweging;GeenPeil;Vrijzinnige Partij;JEZUS LEEFT;Libertarische Partij (LP);MenS en Spirit / Basisinkomen Partij / V-R;StemNL;Vrije Democratische Partij (VDP);;
Duiven;0226;4219;2345;2132;2053;1770;1298;859;253;643;431;36;303;57;53;39;24;25;7;13;7;5;5;7;1;1;7;2;;;
Ede;0228;13614;10686;7450;6581;3571;4585;2730;7348;1573;1610;9171;1100;1532;226;177;65;74;30;20;33;24;26;11;63;6;42;8;;;
Elburg;0230;2357;2865;1523;719;738;437;378;2661;334;206;2280;140;2;40;25;10;6;6;3;6;5;5;2;23;3;3;1;;;
Epe;0232;5077;3280;2592;2060;1600;1171;1364;1127;755;559;893;312;364;69;43;21;25;3;17;9;11;4;4;21;2;5;1;;;
Ermelo;0233;3646;3574;1642;1321;924;978;604;2217;416;442;1201;295;68;49;41;19;11;6;10;4;3;14;6;26;5;4;0;;;
Harderwijk;0243;6649;4908;3172;2485;1635;1882;1210;2854;752;709;790;454;1147;85;76;45;41;11;14;21;18;10;1;22;3;6;0;;;
Hattem;0244;1512;1526;658;827;584;452;563;1342;169;132;180;92;21;25;12;4;4;2;2;1;1;2;0;26;0;3;0;;;
Heerde;0246;2233;2620;1528;902;928;509;697;1599;333;223;468;153;22;32;26;10;6;0;5;5;1;2;1;11;0;1;1;;;
Lingewaard;1705;8125;4261;3774;4035;3353;2245;1496;289;1078;727;37;485;50;84;61;22;38;6;20;10;13;10;7;9;3;6;2;;;
Lochem;0262;6413;3651;1551;3464;1763;2160;1644;404;627;656;69;302;201;63;43;23;26;7;11;20;9;5;6;1;1;12;0;;;
Montferland;1955;5486;4284;4015;2148;2744;1237;997;150;875;486;39;361;105;74;61;22;30;9;19;13;5;13;6;7;3;11;2;;;
Nijkerk;0267;6043;4877;3363;2083;1244;1269;966;2835;668;464;1862;392;334;78;55;33;23;9;12;10;10;3;10;17;4;4;2;;;
Nunspeet;0302;2836;2925;1810;791;692;509;387;2420;340;276;4396;209;37;66;33;9;12;1;6;4;4;3;0;29;0;6;1;;;
Oldebroek;0269;1831;2863;1775;644;777;392;485;3018;322;164;2203;174;5;37;13;8;9;1;11;7;2;5;3;39;0;2;0;;;
Oost Gelre;1586;4853;4780;1768;2316;2115;1119;920;114;749;296;39;261;73;78;29;32;40;3;23;2;5;12;4;4;1;14;0;;;
Oude IJsselstreek;1509;5606;4707;3043;2755;3394;1538;1360;373;885;502;63;288;620;80;48;22;96;6;27;18;10;6;9;8;6;11;4;;;
Overbetuwe;1734;7459;4543;3679;4078;2695;2222;1492;906;862;749;609;467;117;84;58;40;34;4;18;14;12;6;5;8;2;9;2;;;
Putten;0273;3560;3368;1836;818;619;471;369;2182;348;246;1916;208;38;36;15;8;15;2;3;7;5;2;1;21;3;5;0;;;
